Timestamp,Value,Type
18:45:07.113,"0.076,0.286,0.633,-15.320,24.475,1.221\r\n",received
18:45:07.129,"0.080,0.291,0.620,-19.592,15.015,-4.150\r\n",received
18:45:07.145,"0.081,0.261,0.671,-19.836,9.155,-5.554\r\n",received
18:45:07.145,"0.074,0.290,0.706,-19.775,0.671,-5.310\r\n",received
18:45:07.162,"0.062,0.310,0.818,-18.921,-1.648,-7.446\r\n",received
18:45:07.178,"0.068,0.288,0.813,-17.090,0.061,-8.789\r\n",received
18:45:07.194,"0.082,0.285,0.739,-4.517,6.409,-4.456\r\n",received
18:45:07.209,"0.101,0.333,0.622,5.737,5.066,-2.197\r\n",received
18:45:07.225,"0.105,0.325,0.587,20.020,0.732,-2.625\r\n",received
18:45:07.241,"0.115,0.268,0.490,25.391,-2.258,-2.441\r\n",received
18:45:07.257,"0.118,0.267,0.463,39.673,-12.939,1.465\r\n",received
18:45:07.273,"0.108,0.290,0.449,44.861,-18.982,2.258\r\n",received
18:45:07.289,"0.102,0.270,0.442,47.058,-30.518,1.160\r\n",received
18:45:07.289,"0.083,0.222,0.418,47.180,-37.109,1.587\r\n",received
18:45:07.306,"0.062,0.204,0.446,48.157,-45.715,2.380\r\n",received
18:45:07.321,"0.032,0.190,0.524,50.354,-64.453,4.578\r\n",received
18:45:07.321,"\r\n",received
